G101	internal/pkg/jwt/jwt.go	Potential hardcoded credentials	const ExtensionTokenAudience = "sellico-ads-extension"
G101	internal/repository/sqlc/sellico_token_cache_manual.go	Potential hardcoded credentials	const cacheSellicoToken = ` UPDATE workspaces SET encrypted_sellico_token = $2, sellico_token_updated_at = now(), updated_at = now() WHERE id = $1 `
G101	internal/repository/sqlc/sellico_token_cache_manual.go	Potential hardcoded credentials	const listWorkspacesWithSellicoToken = ` SELECT id, encrypted_sellico_token, sellico_token_updated_at, external_workspace_id, source FROM workspaces WHERE deleted_at IS NULL AND source = 'sellico' AND encrypted_sellico_token IS NOT NULL AND encrypted_sellico_token != '' ORDER BY sellico_token_updated_at DESC NULLS LAST LIMIT $1 `
G101	internal/testutil/db.go	Potential hardcoded credentials: Password in URL	if dsn == "" { dsn = "postgres://sellico:sellico@localhost:5432/sellico_test?sslmode=disable" }
G104	internal/integration/llm/client.go	Errors unhandled	respBody, readErr := io.ReadAll(resp.Body) resp.Body.Close() if readErr != nil {
G104	internal/integration/ozon/perf_client.go	Errors unhandled	respBody, readErr := io.ReadAll(resp.Body) resp.Body.Close() if readErr != nil {
G104	internal/integration/ozon/perf_client_actions.go	Errors unhandled	respBody, readErr := io.ReadAll(resp.Body) resp.Body.Close() if readErr != nil {
G104	internal/integration/ozon/perf_client_phrases.go	Errors unhandled	content, readErr := io.ReadAll(fh) fh.Close() if readErr != nil {
G104	internal/integration/ozon/seller_client.go	Errors unhandled	respBody, readErr := io.ReadAll(resp.Body) resp.Body.Close() if readErr != nil {
G104	internal/integration/wb/client.go	Errors unhandled	respBody, err := io.ReadAll(resp.Body) resp.Body.Close() if err != nil {
G104	internal/integration/wb/showcase.go	Errors unhandled	body, _ := io.ReadAll(io.LimitReader(resp.Body, 8<<20)) resp.Body.Close() if resp.StatusCode != http.StatusOK {
G104	internal/service/delivery.go	Errors unhandled	for _, info := range deliveryInfos { s.queries.CreateDeliveryData(ctx, sqlcgen.CreateDeliveryDataParams{ WorkspaceID: uuidToPgtype(workspaceID), ProductID: product.ID, Region: info.Region, Warehouse: textToPgtype(info.Warehouse), DeliveryDays: int32(info.DeliveryDays), DeliveryCost: 0, InStock: info.InStock, })
G104	internal/service/delivery.go	Errors unhandled	if info.StockCount >= 0 { s.queries.UpdateProductStock(ctx, product.ID, int32(info.StockCount)) }
G104	internal/service/export.go	Errors unhandled	const sheetName = "Export" file.SetSheetName(file.GetSheetName(0), sheetName)
G104	internal/service/product_events.go	Errors unhandled	metaJSON, _ := json.Marshal(event.Metadata) s.queries.CreateProductEvent(ctx, sqlcgen.CreateProductEventParams{ WorkspaceID: uuidToPgtype(event.WorkspaceID), ProductID: uuidToPgtype(event.ProductID), EventType: event.EventType, FieldName: textToPgtype(event.FieldName), OldValue: textToPgtype(event.OldValue), NewValue: textToPgtype(event.NewValue), Metadata: metaJSON, Source: event.Source, }) }
G104	internal/service/regional.go	Errors unhandled	productID, _ := uuid.Parse(k.productID) s.queries.UpsertRegionalPositionAggregate(ctx, sqlcgen.UpsertRegionalPositionAggregateParams{ WorkspaceID: uuidToPgtype(workspaceID), ProductID: uuidToPgtype(productID), Query: k.query, Region: k.region, AvgPosition: avg, BestPosition: best, WorstPosition: worst, CheckCount: int32(len(positions)), PeriodStart: pgtype.Date{Time: periodStart, Valid: true}, PeriodEnd: pgtype.Date{Time: periodEnd, Valid: true}, }) aggregated++
G104	internal/service/semantics.go	Errors unhandled	// More accurate than external API calls and doesn't require rate limiting s.queries.CreateFrequencyHistory(ctx, kw.ID, kw.Frequency) updated++
G104	internal/service/semantics.go	Errors unhandled	// Record frequency history point s.queries.CreateFrequencyHistory(ctx, kw.ID, frequency) imported++
G104	internal/service/semantics.go	Errors unhandled	for _, m := range members { s.queries.AssignKeywordToCluster(ctx, m.ID, cluster.ID) }
